Geographical Location (Latitude),Geographical Location (Longitude),Sampling Date,Nitrogen (mg/L),Phosphorus (mg/L),State of Sewage System
5.201085556,-55.02967279,10-06-2022,7.181860323,2.320506019,Good
-64.19640827,94.48326816,12-10-2018,9.735684695,1.015308071,Good
-7.892940201,-90.50310949,16-02-2023,6.778073831,4.718451721,Good
-11.33424832,110.7789864,17-10-2021,3.340601398,3.315705466,Moderate
-24.53206123,-147.5884016,01-12-2021,8.75321134,4.682091281,Good
-71.63193407,95.65387729,30-04-2022,9.783079744,1.076264132,Good
28.1393261,-108.1446544,17-02-2021,7.952277108,1.871881452,Good
18.87219355,-155.3134536,09-04-2019,3.472458127,0.204053514,Moderate
-36.69476445,2.417581771,28-07-2015,2.5289856,2.177359788,Moderate
13.6703692,167.3772972,25-05-2022,1.776112317,3.218343065,Poor
15.57232827,174.6207994,13-04-2022,5.618661869,4.922411776,Moderate
32.00697662,68.48780701,09-01-2022,5.791300499,1.399415315,Good
83.19393812,-109.7293366,24-05-2022,9.70859885,3.872637964,Moderate
81.49482207,-5.666970929,18-11-2021,3.880583922,2.806985871,Poor
68.59857548,-153.7524869,08-05-2014,8.786388643,3.728854137,Moderate
0.238388747,21.49639553,22-10-2018,7.725581494,2.85426028,Good
25.91823586,97.69499394,27-08-2022,5.443428374,3.690659977,Moderate
-36.30918133,-147.9057359,12-03-2023,6.293288859,1.862414367,Good
27.57614757,142.7063245,15-09-2022,9.861332696,4.557006064,Moderate
70.5462039,36.96509653,25-04-2022,5.615487845,0.434012855,Good
-60.75127176,-79.38768517,12-08-2015,4.680886682,1.477072072,Poor
-67.71240309,-119.9387089,11-04-2019,6.868954198,4.794401631,Moderate
12.43813295,-89.8065801,02-08-2015,4.620010399,1.146202883,Moderate
-25.20394839,160.2280068,17-03-2015,9.946603377,2.73890744,Good
-59.10665809,-168.9989726,20-07-2019,2.88078871,4.11137496,Good
3.786589117,-67.78022871,26-10-2018,8.2275227,3.006893208,Poor
36.79459235,16.61304848,25-04-2020,4.298289501,1.409097722,Good
6.413904544,131.3912675,25-04-2022,4.85088307,1.19714335,Poor
79.9870302,-118.7656835,16-04-2015,0.109495114,1.129274514,Good
-49.06536696,146.730434,19-01-2022,1.90580452,2.519322243,Poor
-33.87674124,-78.34679259,05-11-2017,4.28929549,4.342516429,Moderate
71.40083275,172.3228444,17-07-2016,9.74265485,4.568917701,Good
-50.95854281,130.1044398,08-07-2015,4.045869663,2.628330056,Good
-32.39691285,70.07603537,10-11-2017,9.919723478,4.666644762,Good
59.58872194,-157.3732722,19-04-2019,3.745329582,0.654298165,Good
23.21673185,-57.78063137,05-02-2021,2.502482968,0.351236064,Good
-40.76243373,-110.5780465,28-12-2023,4.522267751,3.53599203,Moderate
33.74788975,153.7366463,30-01-2023,9.33374902,3.627418546,Poor
-51.20861812,100.6132569,31-05-2017,7.399599669,0.820271914,Moderate
80.52670629,-130.223361,28-07-2022,9.011149808,1.4358795,Good
41.55404522,52.35615035,03-01-2023,8.271615837,1.130102298,Moderate
-22.64940354,-23.10474505,19-04-2018,7.918692607,2.091853927,Moderate
-6.556423614,-13.78184524,22-08-2015,3.334998327,4.558412242,Good
-66.22774086,168.061679,01-01-2022,1.458993852,1.803674104,Good
79.27775015,84.10458398,30-12-2016,6.073594761,0.254771118,Good
44.75945157,8.061187965,23-07-2017,6.941845393,2.800169426,Poor
-87.04266667,-47.09171047,19-05-2018,6.533534726,2.64573928,Poor
77.31527702,-105.3575405,23-07-2017,0.217154968,4.937467411,Good
30.58497839,82.77830401,07-03-2022,6.422902891,2.027681364,Moderate
-2.587032732,-8.77800148,12-11-2023,2.006997142,1.812413794,Poor
67.77094416,-29.34699752,17-04-2020,1.222389704,3.566328575,Moderate
-48.29370724,-178.5648271,28-01-2022,2.838291007,1.587611331,Poor
80.87738803,-4.840213127,18-01-2019,6.658489631,1.501031622,Good
-87.6173656,-77.5721945,23-01-2016,0.337615076,1.11175549,Good
-23.6547709,24.15338088,14-03-2017,4.091814117,1.047321478,Good
2.037416858,163.4795018,01-04-2015,3.248520945,4.715320808,Good
-30.03387263,103.8330378,01-04-2023,3.542171358,3.40320518,Moderate
-75.4017498,-131.4071214,15-12-2015,9.897002057,1.241111544,Moderate
-87.94305745,-179.3341017,25-06-2018,3.046387807,0.812965859,Good
-63.54960383,159.0702068,27-07-2017,0.504180011,3.529001146,Good
-75.68602513,111.4896924,11-02-2015,5.086813632,3.386320866,Good
-73.87145384,-99.20859337,09-06-2017,9.075888608,0.999519515,Good
10.32638244,-143.2114497,18-07-2014,1.584037311,4.059127931,Good
64.89921129,36.91718364,19-01-2019,3.458118427,3.613028494,Moderate
-43.30393842,-73.11446191,28-02-2023,9.767572925,3.075042019,Poor
-7.225940924,-25.78343684,12-05-2020,6.279409055,0.927842666,Poor
1.803033417,-60.64275272,26-04-2014,9.471306179,3.445512112,Good
32.65065191,133.9820401,11-02-2017,7.444165556,0.031181662,Good
-19.31837822,104.4186712,26-12-2021,5.538065012,3.318421674,Moderate
7.885071014,117.6315395,16-08-2017,0.130647141,0.773009912,Good
68.76745384,136.4060164,04-07-2017,8.425149456,4.57390822,Moderate
-18.17544209,157.2276056,26-08-2015,0.438341663,1.965527629,Good
64.39007595,-130.2166155,03-07-2016,1.240028385,0.497210395,Good
-7.699778396,-2.291633238,09-01-2019,5.666315402,0.053732139,Poor
56.79428738,-177.266895,03-06-2022,3.207446902,3.319888803,Good
23.20171903,36.49599771,09-07-2022,8.795694095,1.013888356,Good
-43.43686796,-84.9996862,31-03-2015,7.728855308,3.409025934,Good
82.61688994,110.7336416,03-08-2017,0.859655355,3.543912239,Good
-72.06931256,76.65660045,14-01-2020,4.525850543,3.422582095,Moderate
66.5079355,-123.3611611,07-06-2017,0.891209868,3.351829891,Moderate
-31.19384128,-55.36330253,29-01-2020,8.344366978,2.992377461,Good
-12.81676995,-7.540492293,19-01-2016,6.666700968,1.696848611,Poor
-66.41005838,-83.70599712,30-12-2017,0.40502186,0.322910991,Moderate
-69.21282652,-62.88771913,16-12-2017,8.760423798,1.005773337,Good
-16.37026283,64.31506321,29-08-2022,4.376778881,3.106575321,Good
-1.745037621,179.8766346,30-09-2015,6.562158045,0.475272361,Moderate
29.25082288,166.6659059,10-01-2017,0.180009969,0.254524034,Moderate
29.85464116,-40.88179765,02-11-2022,5.235532209,0.685230693,Good
59.15824462,-79.46328381,24-02-2014,8.986892132,4.299050535,Good
72.8907022,-76.14857175,31-03-2021,6.987558921,0.834753997,Poor
88.56202381,-151.0030053,10-01-2015,7.305405546,4.521045071,Moderate
-47.98435402,-168.2421524,20-06-2022,5.302009118,1.430037944,Moderate
34.15828771,-41.2194982,29-07-2014,8.653084264,1.539316117,Poor
-79.49585538,116.6187128,30-07-2018,3.370299294,3.367858504,Poor
68.70963822,123.7580808,01-10-2018,9.445219276,3.173873283,Good
-21.76975871,-121.7780916,26-08-2018,6.829894995,0.307154395,Moderate
-59.06644217,76.01972051,26-01-2017,9.842898496,2.207707661,Poor
79.66504795,93.85376933,09-07-2017,8.352312376,3.234359412,Good
-14.85245254,16.42214102,24-07-2016,3.347762054,2.25954068,Moderate
18.74120472,175.5817726,20-11-2018,5.373569662,0.810911625,Good
8.4392823,0.790379978,17-08-2023,1.366202224,0.110646276,Good
-34.13145132,161.8838933,02-04-2016,7.486756858,1.4659621,Moderate
-81.23574672,-15.33723912,27-02-2014,0.115921381,0.016455452,Good
-44.34434563,-56.23765103,05-01-2016,0.437715339,2.355545249,Good
7.862049689,54.99763477,15-10-2018,5.719399223,0.331679813,Moderate
-39.11406283,9.621147802,25-02-2021,9.23593984,0.681385031,Good
-16.93038205,139.1875263,11-12-2017,2.088327922,0.907509169,Poor
-39.76776932,64.37038486,13-10-2014,1.61680509,3.42429157,Good
83.29865757,20.77895807,11-04-2019,7.853699746,2.067864523,Moderate
-86.96309879,-93.24185229,20-10-2018,0.761907736,3.016491566,Moderate
52.35122938,66.18779268,13-07-2015,4.951912459,2.01412956,Poor
3.591427423,43.98051754,25-08-2020,8.89110056,2.64878881,Good
34.91215397,4.274047131,19-01-2021,6.227798235,3.422466367,Moderate
7.448542876,-48.49133624,17-01-2019,1.609145925,1.480265897,Moderate
-35.99479449,103.785532,06-09-2023,6.845180295,0.051847763,Moderate
-61.15851606,-144.7802008,22-04-2021,5.728960346,1.871019032,Poor
-82.86920594,38.17074171,30-07-2019,4.472265028,2.35199578,Poor
73.39193235,-160.8354593,10-11-2015,0.575744946,1.532759989,Good
-35.19965442,45.54653036,09-02-2020,9.208905145,1.132064994,Good
89.63320524,-76.06349296,27-03-2015,8.684589885,0.706919813,Good
-58.56149063,149.9528018,08-12-2023,6.435675397,2.413154765,Good
-4.023629482,91.39044144,01-12-2020,7.227564244,2.47634613,Good
-7.826419573,126.5854014,08-07-2019,5.566874737,3.682522791,Poor
-28.18948882,109.8134371,31-10-2017,1.707670602,0.972800702,Moderate
16.38484216,-138.11856,07-12-2016,9.653754628,3.949743962,Good
-26.65926069,101.041221,28-07-2021,0.978104144,2.403522592,Poor
70.16285816,-39.1690462,05-03-2014,1.545985243,2.618509403,Good
82.57336615,-75.08087903,11-11-2023,6.514235951,3.431267385,Good
-68.88231353,-110.8593369,16-03-2017,0.869180048,1.397025945,Good
-69.14987977,139.0481773,27-06-2020,7.710118451,3.641665821,Good
-7.72942296,-69.76119817,30-07-2020,0.611770487,2.337892266,Good
86.39321874,22.56796185,08-09-2014,5.537840957,2.13798851,Moderate
-13.73285638,-13.50632198,11-06-2015,9.169402188,1.062018009,Good
27.615809,-141.0176166,08-03-2020,8.678698179,1.201615584,Moderate
40.7416436,112.2494029,18-05-2015,0.649390242,4.22632447,Moderate
6.285033887,-159.2964272,01-01-2018,9.659110505,0.424982844,Good
-55.69795531,-177.7360431,20-01-2014,2.288968412,3.674198298,Poor
-42.29285429,26.16642825,22-02-2020,0.187635607,1.206283313,Good
49.221998,-145.8871935,02-07-2019,2.072415683,2.641645822,Good
45.18389679,-173.0881615,07-10-2019,7.580450057,0.499253666,Poor
-19.33761808,-144.0947129,07-03-2023,2.374390342,3.811961491,Poor
-24.38196732,-177.7154292,20-01-2023,9.978338744,2.271077489,Good
84.7316597,-53.61905339,11-07-2016,5.494923561,4.081744232,Good
-57.85560575,-150.1656949,18-10-2022,9.613175431,2.840771092,Moderate
-41.90273426,-12.0539327,22-06-2021,6.412886439,4.588387834,Moderate
-89.750997,-60.06502703,01-05-2018,9.937935133,0.348045566,Good
-45.41669595,20.72336569,07-05-2020,1.796691062,3.472281048,Good
64.57994428,11.91017058,30-08-2019,8.718842493,4.907484518,Good
-7.469429928,39.15661309,26-09-2022,3.503710813,0.265508375,Good
52.53832253,-111.6525014,24-03-2023,1.151848925,3.904634854,Poor
-45.9198937,-27.61889672,30-03-2018,1.880956317,0.425448932,Good
-13.15721516,157.7093745,02-07-2018,5.835443162,4.024605994,Poor
-61.8509972,-146.0190831,29-11-2020,2.209201659,4.143225925,Good
-35.24423551,-81.81455187,18-08-2019,4.151328832,1.383912225,Moderate
-44.92832169,159.8157091,07-08-2018,0.952818659,0.614201125,Moderate
-16.5054765,-178.3846051,03-03-2016,0.159817567,4.388007799,Poor
55.68569487,50.37104022,03-08-2019,5.04499777,4.050049175,Moderate
-25.66356271,94.54570759,12-12-2018,6.932529805,2.241287412,Moderate
-69.7630829,-52.83286305,23-11-2018,1.960386724,0.549962365,Good
44.14193281,-19.20315341,02-06-2022,6.928307853,3.834654083,Poor
54.52080688,68.23466218,25-01-2018,7.54855132,3.027333111,Moderate
19.02815231,65.81562703,06-06-2023,5.591532221,4.523250699,Poor
38.70946754,45.19607357,24-07-2018,4.374427336,3.954072414,Good
-14.74034189,-131.5061237,15-08-2016,4.302508533,0.281076131,Good
75.51133324,148.879558,10-07-2023,8.725931422,0.264262168,Moderate
37.88203671,11.34339936,29-04-2014,2.191004327,3.976973456,Good
-25.3808499,141.3879436,30-11-2020,6.85392651,3.361386389,Good
76.19495536,-89.07730564,09-09-2019,9.564785825,4.076658387,Good
-63.39575987,-45.35783039,11-08-2015,2.438109509,1.814824857,Good
-43.75500414,155.3265232,15-03-2019,7.146982951,4.553434267,Moderate
67.24022891,7.08619229,17-01-2023,2.71744474,4.401036804,Poor
-33.02233922,-167.971805,10-11-2017,6.667426245,4.880920331,Moderate
-25.67756166,10.80010986,18-08-2015,0.98115106,0.844665108,Poor
13.98769638,39.05459594,29-07-2016,9.256565639,1.466253347,Moderate
-79.31102616,-98.51565004,03-01-2023,9.21636035,2.045577184,Moderate
67.68483263,86.4894097,15-02-2019,6.833339768,3.461301897,Good
75.33836121,23.98440701,02-04-2023,6.540488612,1.482879322,Poor
-68.37836721,76.11743178,11-10-2020,9.799305382,4.921712015,Poor
71.97601374,139.1743624,12-06-2018,5.162532781,1.086331497,Good
65.42471685,71.60568761,27-07-2015,8.817497777,1.793246552,Moderate
46.32554578,-140.7587982,24-09-2020,5.038606329,0.585402326,Poor
-33.3768069,-178.3843192,29-08-2015,5.464979973,3.266336163,Moderate
9.836110552,-8.192872538,16-12-2018,0.447500279,2.468405099,Good
72.56693643,-0.288489258,08-06-2023,6.598031828,3.16786757,Moderate
-72.0480695,172.4771093,14-08-2016,0.982577598,0.254897986,Poor
-4.393958925,110.9436437,29-01-2021,5.541706963,4.240482092,Moderate
57.60403846,-64.38998624,22-08-2018,1.378166581,3.081577234,Good
-30.55193357,164.0421139,05-01-2015,9.086170553,4.321913593,Moderate
56.49842555,-159.303698,18-10-2023,2.074470527,1.543631681,Moderate
-77.60664639,132.529914,08-01-2014,0.154473866,1.328973858,Poor
37.02780792,-174.4188247,26-02-2021,7.054906789,2.877417317,Poor
-18.85801616,20.63060004,13-09-2019,9.624615873,0.467472027,Good
-50.82068818,114.0323231,25-01-2018,7.272788795,1.70666317,Moderate
-57.63684765,-18.91160408,26-09-2015,6.686507698,1.546786508,Good
-3.589040192,134.7343063,25-03-2022,8.556219105,2.832790458,Moderate
40.30945173,130.4967345,11-05-2015,6.977346787,0.104600582,Good
67.2897921,163.6764399,23-09-2015,6.124675227,1.977072646,Good
-87.80919175,2.296092012,06-02-2021,3.245969491,4.648924297,Poor
-88.18853478,1.750995421,05-10-2014,2.900446393,1.423975835,Poor
-4.351284746,109.2681261,04-12-2023,8.068054735,2.156597515,Moderate
-70.6549378,86.11977411,16-07-2014,6.057465291,4.361051738,Poor
-38.24198959,59.59552669,03-01-2018,0.403243853,2.606827136,Good
-7.793347345,125.4520561,05-06-2019,4.333122495,0.246525272,Moderate
-47.54983966,-158.4232209,01-08-2016,4.370505474,4.482188816,Good
80.7372542,87.92576671,07-09-2022,5.590324193,0.705883064,Moderate
-5.137682516,-75.9310978,26-10-2015,9.396521166,3.70499431,Good
22.80716567,-119.4275075,09-04-2014,4.234053213,2.303270188,Poor
-85.63091317,-149.207906,01-10-2014,8.968811675,0.624472174,Moderate
-89.04419143,39.24452938,26-05-2017,3.013838435,1.438689614,Good
-87.95607687,128.1678954,04-02-2018,8.793985041,2.90011325,Good
